Sentence;Degree of Truth;Degree of Support;Degree of Focus
For almost no records in low depression, context_avg_day_duration_outgoing is medium;0.5048924115452806;0.1090146750524109;0.22851153039832284
For almost no records in low depression, context_avg_day_duration_outgoing is high;0.8224649171876595;0.08176100628930817;0.22851153039832284
For almost no records in low depression, context_stddev_duration_outgoing is low;0.669791044071344;0.07966457023060797;0.22851153039832284
For almost no records in low depression, context_stddev_duration_outgoing is medium;0.8090728849385506;0.09748427672955975;0.22851153039832284
For almost no records in low depression, context_stddev_duration_outgoing is high;0.9282817231827262;0.07651991614255765;0.22851153039832284
For almost no records in low depression, context_no_nottakencalls is high;0.4978884520168922;0.07651991614255765;0.22851153039832284
For almost no records in low depression, context_no_sms is medium;0.4112008105122468;0.09014675052410902;0.22851153039832284
For almost no records in low depression, context_no_sms is high;0.5058877706819374;0.08385744234800839;0.22851153039832284
For almost no records in low depression, context_avg_len_sms is low;0.5686457526401768;0.08490566037735849;0.22851153039832284
For almost no records in low depression, context_avg_len_sms is medium;1.0;0.08280922431865828;0.22851153039832284
For almost no records in low depression, context_avg_len_sms is high;0.8755656072420134;0.06918238993710692;0.22851153039832284
For almost no records in low depression, context_no_calls is high;0.7477522156315661;0.08385744234800839;0.22851153039832284
For almost no records in low depression, context_prc_nottakencalls is low;1.0;0.06184486373165619;0.22851153039832284
For almost no records in low depression, context_prc_out_calls is low;0.4503968597676704;0.10062893081761007;0.22851153039832284
For almost no records in low depression, context_prc_out_calls is high;0.7647887756610056;0.07966457023060797;0.22851153039832284
For almost no records in low depression, context_avg_duration_calls is high;0.6421421759857787;0.0880503144654088;0.22851153039832284
For almost no records in low depression, context_stddev_duration_calls is medium;0.5510967042783183;0.1069182389937107;0.22851153039832284
For almost no records in low depression, context_stddev_duration_calls is high;0.8546195659342012;0.08071278825995808;0.22851153039832284
For almost no records in low depression, context_no_all_calls is high;0.7368201294368251;0.0880503144654088;0.22851153039832284
For almost no records in low mania, context_no_day_outgoing_calls is medium;0.5095483891133727;0.05555555555555555;0.11740041928721175
For almost no records in low mania, context_stddev_duration_calls is medium;0.7362600523839095;0.05450733752620545;0.11740041928721175
